country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
USA,"82,649,779","1,018,316",,"80,434,925",0,0,"1,465","1,196,538","247,080","3,044","1,000,275,726","2,990,303"
India,"43,057,545","522,193",,"42,519,479",0,0,698,"15,873","30,657",372,"834,717,702","594,319"
Brazil,"30,345,654","662,663",,"29,364,400",0,0,"8,318","318,591","140,954","3,078","63,776,166","296,238"
France,"28,244,977","145,020",,"25,852,832",0,0,"1,677","2,247,125","430,996","2,213","266,484,045","4,066,333"
Germany,"24,109,433","134,624",,"21,243,000",0,0,"1,980","2,731,809","286,106","1,598","122,332,384","1,451,714"
UK,"21,933,206","173,352",,"20,782,350",0,0,339,"977,504","320,054","2,530","514,985,782","7,514,777"
Russia,"18,137,137","374,902",,"17,474,628",168,"8,446","2,300","287,607","124,187","2,567","273,400,000","1,871,995"
S. Korea,"16,895,194","22,133",,N/A,109,"64,725",726,N/A,"329,028",431,"15,804,065","307,778"
Italy,"16,079,209","162,609",,"14,684,371",0,0,409,"1,232,229","266,648","2,697","211,365,630","3,505,156"
Turkey,"15,016,270","98,676",,"14,854,475",0,0,975,"63,119","174,654","1,148","158,110,923","1,838,986"
Spain,"11,786,036","103,908",,"11,261,340",0,0,339,"420,788","251,906","2,221","471,036,328","10,067,575"
Vietnam,"10,563,502","43,013",,"9,086,075",9,"8,813",612,"1,434,414","106,789",435,"85,789,114","867,262"
Argentina,"9,060,923","128,344",,"8,895,999",0,0,412,"36,580","197,215","2,793","35,716,069","777,376"
Netherlands,"8,035,603","22,206",,"7,643,520",0,0,94,"369,877","467,096","1,291","21,107,399","1,226,938"
Japan,"7,621,562","29,284",,"7,135,403",27,"43,721",195,"456,875","60,596",233,"46,690,473","371,215"
Iran,"7,216,040","140,975",,"6,966,954",13,528,"1,046","108,111","83,972","1,641","50,811,054","591,284"
Colombia,"6,091,094","139,771",,"5,924,433",0,0,342,"26,890","117,448","2,695","34,355,022","662,433"
Indonesia,"6,043,768","156,067",,"5,868,251",0,0,"2,771","19,450","21,682",560,"94,877,499","340,374"
Poland,"5,991,197","115,948",,"5,334,375",0,344,"1,588","540,874","158,616","3,070","36,027,053","953,808"
Mexico,"5,733,514","324,117",,"5,033,892",57,802,"4,798","375,505","43,641","2,467","15,762,889","119,981"
Australia,"5,689,377","6,991",,"5,274,197",21,"34,769",135,"408,189","218,537",269,"68,845,476","2,644,452"
Ukraine,"4,997,224","108,306",,N/A,0,0,177,N/A,"115,517","2,504","19,521,252","451,259"
Malaysia,"4,427,067","35,491",,"4,310,599",0,0,89,"80,977","133,690","1,072","58,332,799","1,761,549"
Thailand,"4,165,874","27,778",,"3,954,945",126,"17,784","1,496","183,151","59,414",396,"17,270,775","246,317"
Austria,"4,104,859","18,047",,"3,989,860",12,"5,810",121,"96,952","451,125","1,983","181,825,734","19,982,688"
Israel,"4,054,342","10,658",,"4,009,152",0,0,220,"34,532","434,735","1,143","41,373,364","4,436,346"
Belgium,"4,015,791","31,319",,"3,726,457",0,0,169,"258,015","343,798","2,681","33,456,470","2,864,259"
Czechia,"3,895,544","40,081",,"3,838,099",5,911,43,"17,364","362,550","3,730","55,117,064","5,129,629"
Portugal,"3,791,744","22,162",,N/A,0,0,61,N/A,"373,827","2,185","40,748,372","4,017,371"
South Africa,"3,759,689","100,298",,"3,632,572",0,0,175,"26,819","61,981","1,653","24,313,334","400,824"
Canada,"3,695,585","38,777",,"3,426,082",0,0,426,"230,726","96,391","1,011","60,536,359","1,578,955"
Philippines,"3,684,500","60,182",,"3,610,658",3,205,289,"13,660","32,835",536,"29,427,586","262,246"
Switzerland,"3,579,867","13,816",,"3,378,507",0,0,90,"187,544","408,247","1,576","20,666,182","2,356,766"
Peru,"3,559,343","212,724",,N/A,0,0,356,N/A,"105,303","6,293","29,592,270","875,489"
Chile,"3,544,463","57,375",,"3,368,772",0,0,286,"118,316","182,588","2,956","36,711,724","1,891,147"
Greece,"3,277,557","28,867",,"3,151,717",0,0,277,"96,973","317,250","2,794","78,872,546","7,634,431"
Denmark,"2,959,040","6,072",,"2,929,091",0,0,15,"23,877","507,639","1,042","127,141,200","21,811,751"
Romania,"2,888,318","65,427",,"2,606,660",6,494,216,"216,231","151,968","3,442","22,594,702","1,188,815"
Sweden,"2,498,388","18,656",,"2,464,421",0,0,19,"15,311","244,630","1,827","18,493,218","1,810,763"
